geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
18120,-23.45191336615063,-47.20439092897492,mairinque,SP
36038,-21.777914336112847,-43.38863312683941,juiz de fora,MG
88330,-26.99588327032722,-48.62775038467312,balneario camboriu,SC
36025,-21.77460981709849,-43.35327441104508,juiz de fora,MG
91380,-30.021469040798664,-51.143754063708144,porto alegre,RS
9260,-23.625327206215022,-46.50100458866645,santo andre,SP
63260,-7.493216232995274,-38.98218288573176,brejo santo,CE
17780,-21.727039114251152,-51.01351928681216,lucelia,SP
18120,-23.5478413879584,-47.18536198174751,mairinque,SP
38680,-15.906645121954622,-46.101267290096,arinos,MG
96745,-29.9770097624274,-51.62786365222109,charqueadas,RS
86060,-23.309902583386343,-51.172848272548926,londrina,PR
25640,-22.524305467499875,-43.18020803250011,petropolis,RJ
12903,-22.94790081043339,-46.543608879825705,braganca paulista,SP
23085,-22.89831558866646,-43.54718785677199,rio de janeiro,RJ
32400,-20.02786665856414,-44.05786937342153,ibirite,MG
85869,-25.4883751133518,-54.55766586171614,foz do iguacu,PR
25954,-22.43465651756435,-42.944792661423485,teresopolis,RJ
13301,-23.2528803322177,-47.29427757842335,itu,SP
83702,-25.592897850041453,-49.4035574139131,araucária,PR
3407,-23.54217018151652,-46.550981618933534,sao paulo,SP
39740,-18.77521252372721,-42.93422960720459,guanhães,MG
5652,-23.597147127387657,-46.71558878100302,sao paulo,SP
14940,-21.76522158625501,-48.82701888882072,ibitinga,SP
18031,-23.51653459838998,-47.4604896530671,sorocaba,SP
8470,-23.511205508742563,-46.729464595475775,sao paulo,SP
39260,-17.585831818330952,-44.74191970814056,varzea da palma,MG
1423,-23.56925275298631,-46.656701816406006,são paulo,SP
3415,-23.56192657507645,-46.54517408381904,sao paulo,SP
22780,-22.95788954232788,-43.38398511379764,rio de janeiro,RJ
80710,-25.420783233401657,-49.29847930276043,curitiba,PR
37305,-21.48297361058661,-44.33265641943099,madre de deus de minas,MG
13842,-22.38603911840717,-46.92439353391164,mogi-guacu,SP
5170,-23.48258481709849,-46.74910350207745,sao paulo,SP
11717,-24.02187015015292,-46.4855839365803,praia grande,SP
37640,-22.853018378183013,-46.30530184182136,extrema,MG
65728,-4.521735209991027,-44.46523318851332,lima campos,MA
9040,-23.65885328449413,-46.53216393894623,santo andré,SP
36400,-20.66835045826932,-43.79671434045886,conselheiro lafaiete,MG
5871,-23.683699948929547,-46.770602474464766,sao paulo,SP
12213,-23.143653237915643,-45.92102889265821,sao jose dos campos,SP
5185,-23.44698313901211,-46.74725475332709,sao paulo,SP
87970,-22.763398785217102,-52.999744809141326,nova londrina,PR
9660,-23.65286477265065,-46.59479103315416,sao bernardo do campo,SP
11680,-23.43618295560797,-45.08070366988875,ubatuba,SP
7134,-23.429166590339907,-46.51410438121067,guarulhos,SP
89540,-26.967835466749445,-50.41930500693583,santa cecília,SC
2341,-23.47404675021634,-46.61379614960465,sao paulo,SP
4757,-23.651274331515857,-46.718057660666,sao paulo,SP
9330,-23.676030921461088,-46.413445373449065,maua,SP
17509,-22.216856563419697,-49.93974142437527,marilia,SP
37510,-22.327383039394647,-45.52176080162258,sao jose do alegre,MG
9400,-23.711153573691483,-46.41471513350449,ribeirao pires,SP
5782,-23.650368726614367,-46.76906904356862,sao paulo,SP
74915,-16.75270488880408,-49.28195609228162,aparecida de goiania,GO
60341,-3.715048828548543,-38.58861516099415,fortaleza,CE
12324,-23.31214835746097,-45.99557361409737,jacarei,SP
8151,-23.514219649460426,-46.40568378573488,sao paulo,SP
44066,-12.223294660835576,-38.94707864882449,feira de santana,BA
3937,-23.583305514570952,-46.49977327990652,sao paulo,SP
50740,-8.042819714467026,-34.94978419720343,recife,PE
95890,-29.472422272506154,-51.81166944687697,teutonia,RS
65707,-3.893027588393266,-45.16400171264996,pio xii,MA
37970,-20.744437461808023,-46.86636623601658,pratapolis,MG
7191,-23.45672342714523,-46.50716476311385,guarulhos,SP
83880,-26.10585658301052,-49.79584469821593,rio negro,PR
58039,-7.112465427902073,-34.82676620406026,joão pessoa,PB
29730,-19.51628953795144,-41.00621706648061,baixo guandu,ES
30380,-19.941075722459416,-43.94832067470718,belo horizonte,MG
9930,-23.66873023316389,-46.61339007920274,diadema,SP
19914,-22.97487983458363,-49.85410316570484,ourinhos,SP
50710,-8.044625168474784,-34.90685695115124,recife,PE
87050,-23.42474107509995,-51.92157590573404,maringa,PR
38440,-18.65887910871632,-48.19526208710162,araguari,MG
88210,-27.15017064360665,-48.58905612205815,porto belo,SC
17516,-22.21786573572057,-49.935949688907854,marilia,SP
6706,-23.57975506820028,-46.871983828677,cotia,SP
72620,-15.910596905722636,-48.07807242868003,brasilia,DF
17580,-22.1087537362964,-50.19516040987678,pompeia,SP
60442,-3.746776405013002,-38.56696310298362,fortaleza,CE
5359,-23.56552903719197,-46.74796007271051,sao paulo,SP
37464,-22.29638614990691,-44.93948415904858,itanhandu,MG
52051,-8.028719717179301,-34.903715798920864,recife,PE
39915,-15.688592954875524,-40.73824117571555,mata verde,MG
9671,-23.666027761873103,-46.6079568749496,sao bernardo do campo,SP
36201,-21.223578967601764,-43.7911158140976,barbacena,MG
15400,-20.743889038503248,-48.90925803858934,olímpia,SP
79009,-20.45053833582438,-54.63181070041531,campo grande,MS
52011,-8.05080065667379,-34.901488733971945,recife,PE
6532,-23.441580985106803,-46.88555951861649,santana de parnaíba,SP
9420,-23.7164301989104,-46.41305843606453,ribeirao pires,SP
68180,-4.265101639290822,-55.98325312346403,itaituba,PA
88140,-27.673707673236127,-48.80336012365006,santo amaro da imperatriz,SC
41340,-12.893095218667744,-38.411010000000005,salvador,BA
60868,-3.837295192045838,-38.52714438197655,fortaleza,CE
31710,-19.84339477159662,-43.95597713281201,belo horizonte,MG
15420,-20.49747730308274,-48.94790649807256,guaraci,SP
29216,-20.656956703540505,-40.49402030580621,guarapari,ES
98918,-27.67027422274809,-54.10817414561099,boa vista do burica,RS
36088,-21.711945048848747,-43.43947769969415,juiz de fora,MG
88056,-27.44123893347336,-48.41880109030407,florianopolis,SC
37975,-20.74470919391143,-46.74246921431112,itau de minas,MG
1307,-23.553325174562964,-46.65245602138027,sao paulo,SP
20021,-22.912817406601672,-43.177113497230025,rio de janeiro,RJ
